岩性,体素数,体积 (m³),占比 (%),平均置信度
中砂岩,5033,253543041.91857156,4.0264,1.0
泥岩,16924,852565555.6188964,13.5392,0.9578409359489483
炭质泥岩,7879,396913496.37918246,6.3032,1.0
煤,15270,769243443.2935799,12.216,0.9001309757694826
砂砾岩,0,0.0,0.0,0.0
砂质泥岩,10671,537563640.0383623,8.5368,0.5566488614000562
砾岩,23893,1203636777.381369,19.1144,0.9329510735361821
粉砂岩,21832,1099811581.7934144,17.4656,0.9645016489556614
粗砂岩,0,0.0,0.0,0.0
粘土,0,0.0,0.0,0.0
细砂岩,20029,1008983426.7011862,16.0232,0.8793000149782815
腐殖土,3469,174754780.92897373,2.7752,1.0
